,x_0,x_1,y,y_err_stat,y_err_sys,mask
0,0.275,3.25,0.9735,0.0143,0.0326,1
1,0.275,5.146,0.9363,0.0113,0.0254,0
2,0.275,8.155,0.9275,0.0076,0.0217,1
3,0.275,12.925,0.9102,0.0097,0.0205,0
4,0.275,20.52,0.8453,0.0096,0.0231,1
5,0.275,32.5,0.831,0.0114,0.0307,1
6,0.02,0.325,0.7855,0.0122,0.0607,1
7,0.02,0.515,0.9116,0.014,0.0598,0
8,0.02,0.816,1.0449,0.0148,0.0696,1
9,0.02,1.293,1.1789,0.0178,0.0813,0
10,0.02,2.052,1.2201,0.0238,0.0921,1
11,0.02,3.25,1.2505,0.0516,0.1218,1
12,0.225,3.25,1.067,0.0126,0.0319,1
13,0.225,5.146,1.0695,0.0094,0.0264,0
14,0.225,8.155,1.044,0.0086,0.0291,1
15,0.225,12.925,1.0323,0.01,0.0341,0
16,0.225,20.52,0.9997,0.0118,0.0358,1
17,0.225,32.5,1.0098,0.0193,0.0538,1
18,0.45,8.155,0.4811,0.0049,0.0408,1
19,0.45,12.925,0.4363,0.004,0.0291,0
20,0.45,20.52,0.406,0.0049,0.0271,1
21,0.45,32.5,0.3779,0.005,0.0217,0
22,0.45,51.455,0.3438,0.0051,0.0156,1
23,0.045,0.816,1.0459,0.0123,0.0592,1
24,0.045,1.293,1.1908,0.0113,0.072,0
25,0.045,2.052,1.3191,0.0154,0.0819,1
26,0.045,3.25,1.3983,0.0173,0.0951,0
27,0.045,5.146,1.3728,0.0221,0.1076,1
28,0.045,8.155,1.2974,0.0658,0.1276,1
29,0.55,8.155,0.2949,0.0047,0.0415,1
30,0.55,12.925,0.2484,0.0031,0.0289,0
31,0.55,20.52,0.2253,0.0034,0.0249,1
32,0.55,32.5,0.2015,0.0032,0.0184,0
33,0.55,51.455,0.1811,0.0039,0.0157,1
34,0.125,2.052,1.2218,0.0102,0.0462,1
35,0.125,3.25,1.2995,0.0109,0.0489,0
36,0.125,5.146,1.3024,0.0102,0.058,1
37,0.125,8.155,1.3028,0.0115,0.0637,0
38,0.125,12.925,1.3013,0.0146,0.0715,1
39,0.125,20.52,1.2884,0.0302,0.0923,1
40,0.08,1.293,1.2053,0.0112,0.0596,1
41,0.08,2.052,1.3039,0.0122,0.0646,0
42,0.08,3.25,1.363,0.0118,0.0743,1
43,0.08,5.146,1.4266,0.0137,0.0828,0
44,0.08,8.155,1.3939,0.0173,0.0953,1
45,0.08,12.925,1.4333,0.0386,0.1264,1
46,0.175,2.052,1.1185,0.0147,0.0552,1
47,0.175,3.25,1.1752,0.0124,0.0331,1
48,0.175,5.146,1.2061,0.0087,0.0389,1
49,0.175,8.155,1.1984,0.0111,0.0401,0
50,0.175,12.925,1.1767,0.0116,0.0492,1
51,0.175,20.52,1.1504,0.0143,0.0589,0
52,0.175,32.5,1.1226,0.0473,0.0822,1
53,0.65,8.155,0.1558,0.0038,0.0311,1
54,0.65,12.925,0.1244,0.0022,0.0217,0
55,0.65,20.52,0.1035,0.0021,0.017,1
56,0.65,32.5,0.0863,0.0019,0.0123,0
57,0.65,51.455,0.083,0.002,0.0111,1
58,0.35,5.146,0.7531,0.0077,0.0403,1
59,0.35,8.155,0.711,0.0049,0.0252,0
60,0.35,12.925,0.662,0.006,0.0245,1
61,0.35,20.52,0.6338,0.0057,0.0188,0
62,0.35,32.5,0.6219,0.0063,0.0183,1
63,0.35,51.455,0.5809,0.0095,0.022,1
